名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL
ソフィア葛西,賃貸マンション,東京都江戸川区中葛西５,東京メトロ東西線/西葛西駅 歩12分,築20年,7階建,2階,12万円,8000円,12万円,-,2LDK,52.51m2,https://suumo.jp/chintai/jnc_000013550955/?bc=100276134953
ソフィア葛西,賃貸マンション,東京都江戸川区中葛西５,ＪＲ京葉線/葛西臨海公園駅 バス15分 (バス停)葛西駅前 歩8分,築20年,7階建,2階,12万円,8000円,12万円,-,2LDK,52.51m2,https://suumo.jp/chintai/jnc_000013550955/?bc=100276134953
日暮里・舎人ライナー 熊野前駅 5階建 築11年,賃貸マンション,東京都荒川区東尾久８,日暮里・舎人ライナー/熊野前駅 歩1分,築11年,5階建,3階,14.4万円,6000円,14.4万円,14.4万円,2DK,51.12m2,https://suumo.jp/chintai/jnc_000073070570/?bc=100276148676
日暮里・舎人ライナー 熊野前駅 5階建 築11年,賃貸マンション,東京都荒川区東尾久８,日暮里・舎人ライナー/熊野前駅 歩1分,築11年,5階建,3階,17万円,8000円,17万円,17万円,2LDK,60.63m2,https://suumo.jp/chintai/jnc_000073070569/?bc=100275989402
日暮里・舎人ライナー 熊野前駅 5階建 築11年,賃貸マンション,東京都荒川区東尾久８,日暮里・舎人ライナー/足立小台駅 歩9分,築11年,5階建,3階,14.4万円,6000円,14.4万円,14.4万円,2DK,51.12m2,https://suumo.jp/chintai/jnc_000073070570/?bc=100276148676
日暮里・舎人ライナー 熊野前駅 5階建 築11年,賃貸マンション,東京都荒川区東尾久８,日暮里・舎人ライナー/足立小台駅 歩9分,築11年,5階建,3階,17万円,8000円,17万円,17万円,2LDK,60.63m2,https://suumo.jp/chintai/jnc_000073070569/?bc=100275989402
日暮里・舎人ライナー 熊野前駅 5階建 築11年,賃貸マンション,東京都荒川区東尾久８,日暮里・舎人ライナー/赤土小学校前駅 歩10分,築11年,5階建,3階,14.4万円,6000円,14.4万円,14.4万円,2DK,51.12m2,https://suumo.jp/chintai/jnc_000073070570/?bc=100276148676
日暮里・舎人ライナー 熊野前駅 5階建 築11年,賃貸マンション,東京都荒川区東尾久８,日暮里・舎人ライナー/赤土小学校前駅 歩10分,築11年,5階建,3階,17万円,8000円,17万円,17万円,2LDK,60.63m2,https://suumo.jp/chintai/jnc_000073070569/?bc=100275989402
シャーメゾン青井,賃貸マンション,東京都足立区青井４,つくばエクスプレス/青井駅 歩4分,築9年,3階建,1階,10.4万円,3000円,10.4万円,10.4万円,2LDK,51.77m2,https://suumo.jp/chintai/jnc_000073097665/?bc=100276124862
シャーメゾン青井,賃貸マンション,東京都足立区青井４,東武伊勢崎線/五反野駅 歩22分,築9年,3階建,1階,10.4万円,3000円,10.4万円,10.4万円,2LDK,51.77m2,https://suumo.jp/chintai/jnc_000073097665/?bc=100276124862
シャーメゾン青井,賃貸マンション,東京都足立区青井４,つくばエクスプレス/六町駅 歩22分,築9年,3階建,1階,10.4万円,3000円,10.4万円,10.4万円,2LDK,51.77m2,https://suumo.jp/chintai/jnc_000073097665/?bc=100276124862
Klause N,賃貸アパート,東京都葛飾区東金町３,ＪＲ常磐線/金町駅 歩7分,築7年,3階建,3階,11.2万円,5000円,-,22.4万円,1LDK,41.37m2,https://suumo.jp/chintai/jnc_000072994178/?bc=100275648374
Klause N,賃貸アパート,東京都葛飾区東金町３,ＪＲ常磐線/金町駅 歩7分,築7年,3階建,3階,11.2万円,5500円,-,22.4万円,1LDK,41.37m2,https://suumo.jp/chintai/jnc_000072986877/?bc=100275818045
Klause N,賃貸アパート,東京都葛飾区東金町３,京成金町線/京成金町駅 歩8分,築7年,3階建,3階,11.2万円,5000円,-,22.4万円,1LDK,41.37m2,https://suumo.jp/chintai/jnc_000072994178/?bc=100275648374
Klause N,賃貸アパート,東京都葛飾区東金町３,京成金町線/京成金町駅 歩8分,築7年,3階建,3階,11.2万円,5500円,-,22.4万円,1LDK,41.37m2,https://suumo.jp/chintai/jnc_000072986877/?bc=100275818045
Klause N,賃貸アパート,東京都葛飾区東金町３,京成金町線/柴又駅 歩28分,築7年,3階建,3階,11.2万円,5000円,-,22.4万円,1LDK,41.37m2,https://suumo.jp/chintai/jnc_000072994178/?bc=100275648374
Klause N,賃貸アパート,東京都葛飾区東金町３,京成金町線/柴又駅 歩28分,築7年,3階建,3階,11.2万円,5500円,-,22.4万円,1LDK,41.37m2,https://suumo.jp/chintai/jnc_000072986877/?bc=100275818045
イノセンス,賃貸マンション,東京都葛飾区鎌倉４,京成本線/京成小岩駅 歩6分,築3年,3階建,1階,8.3万円,4000円,8.3万円,-,1LDK,35.78m2,https://suumo.jp/chintai/jnc_000073070781/?bc=100275984576
イノセンス,賃貸マンション,東京都葛飾区鎌倉４,北総線/新柴又駅 歩11分,築3年,3階建,1階,8.3万円,4000円,8.3万円,-,1LDK,35.78m2,https://suumo.jp/chintai/jnc_000073070781/?bc=100275984576
イノセンス,賃貸マンション,東京都葛飾区鎌倉４,京成本線/江戸川駅 歩22分,築3年,3階建,1階,8.3万円,4000円,8.3万円,-,1LDK,35.78m2,https://suumo.jp/chintai/jnc_000073070781/?bc=100275984576
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築15年,地下2地上36階建,12階,15万円,10000円,15万円,18万円,1LDK,37.09m2,https://suumo.jp/chintai/jnc_000072850513/?bc=100275581128
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築15年,地下2地上36階建,1階,15万円,10000円,15万円,18万円,1LDK,37.09m2,https://suumo.jp/chintai/jnc_000073076571/?bc=100276035168
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築15年,地下2地上36階建,12階,15.3万円,10000円,15.3万円,18.36万円,1LDK,37.09m2,https://suumo.jp/chintai/jnc_000072641910/?bc=100273808187
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築15年,地下2地上36階建,29階,19.8万円,12000円,19.8万円,19.8万円,1LDK,45.86m2,https://suumo.jp/chintai/jnc_000071788698/?bc=100269204116
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築15年,地下2地上36階建,15階,21.2万円,10000円,21.2万円,42.4万円,1LDK,56.02m2,https://suumo.jp/chintai/jnc_000073006790/?bc=100275660487
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築15年,地下2地上36階建,30階,22万円,16000円,44万円,22万円,2LDK,53.69m2,https://suumo.jp/chintai/jnc_000072529155/?bc=100273013053
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築15年,地下2地上36階建,21階,26万円,10000円,52万円,26万円,2SLDK,67.56m2,https://suumo.jp/chintai/jnc_000072473108/?bc=100272746669
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩1分,築15年,地下2地上36階建,34階,43万円,25000円,86万円,43万円,3LDK,96.37m2,https://suumo.jp/chintai/jnc_000072097116/?bc=100270803928
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/西日暮里駅 歩5分,築15年,地下2地上36階建,12階,15万円,10000円,15万円,18万円,1LDK,37.09m2,https://suumo.jp/chintai/jnc_000072850513/?bc=100275581128
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/西日暮里駅 歩5分,築15年,地下2地上36階建,1階,15万円,10000円,15万円,18万円,1LDK,37.09m2,https://suumo.jp/chintai/jnc_000073076571/?bc=100276035168
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/西日暮里駅 歩5分,築15年,地下2地上36階建,12階,15.3万円,10000円,15.3万円,18.36万円,1LDK,37.09m2,https://suumo.jp/chintai/jnc_000072641910/?bc=100273808187
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/西日暮里駅 歩5分,築15年,地下2地上36階建,29階,19.8万円,12000円,19.8万円,19.8万円,1LDK,45.86m2,https://suumo.jp/chintai/jnc_000071788698/?bc=100269204116
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/西日暮里駅 歩5分,築15年,地下2地上36階建,15階,21.2万円,10000円,21.2万円,42.4万円,1LDK,56.02m2,https://suumo.jp/chintai/jnc_000073006790/?bc=100275660487
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/西日暮里駅 歩5分,築15年,地下2地上36階建,30階,22万円,16000円,44万円,22万円,2LDK,53.69m2,https://suumo.jp/chintai/jnc_000072529155/?bc=100273013053
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/西日暮里駅 歩5分,築15年,地下2地上36階建,21階,26万円,10000円,52万円,26万円,2SLDK,67.56m2,https://suumo.jp/chintai/jnc_000072473108/?bc=100272746669
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/西日暮里駅 歩5分,築15年,地下2地上36階建,34階,43万円,25000円,86万円,43万円,3LDK,96.37m2,https://suumo.jp/chintai/jnc_000072097116/?bc=100270803928
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ常磐線/三河島駅 歩10分,築15年,地下2地上36階建,12階,15万円,10000円,15万円,18万円,1LDK,37.09m2,https://suumo.jp/chintai/jnc_000072850513/?bc=100275581128
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ常磐線/三河島駅 歩10分,築15年,地下2地上36階建,1階,15万円,10000円,15万円,18万円,1LDK,37.09m2,https://suumo.jp/chintai/jnc_000073076571/?bc=100276035168
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ常磐線/三河島駅 歩10分,築15年,地下2地上36階建,12階,15.3万円,10000円,15.3万円,18.36万円,1LDK,37.09m2,https://suumo.jp/chintai/jnc_000072641910/?bc=100273808187
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ常磐線/三河島駅 歩10分,築15年,地下2地上36階建,29階,19.8万円,12000円,19.8万円,19.8万円,1LDK,45.86m2,https://suumo.jp/chintai/jnc_000071788698/?bc=100269204116
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ常磐線/三河島駅 歩10分,築15年,地下2地上36階建,15階,21.2万円,10000円,21.2万円,42.4万円,1LDK,56.02m2,https://suumo.jp/chintai/jnc_000073006790/?bc=100275660487
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ常磐線/三河島駅 歩10分,築15年,地下2地上36階建,30階,22万円,16000円,44万円,22万円,2LDK,53.69m2,https://suumo.jp/chintai/jnc_000072529155/?bc=100273013053
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ常磐線/三河島駅 歩10分,築15年,地下2地上36階建,21階,26万円,10000円,52万円,26万円,2SLDK,67.56m2,https://suumo.jp/chintai/jnc_000072473108/?bc=100272746669
ステーションプラザタワー,賃貸マンション,東京都荒川区西日暮里２,ＪＲ常磐線/三河島駅 歩10分,築15年,地下2地上36階建,34階,43万円,25000円,86万円,43万円,3LDK,96.37m2,https://suumo.jp/chintai/jnc_000072097116/?bc=100270803928
日暮里・舎人ライナー 赤土小学校前駅 7階建 築14年,賃貸マンション,東京都荒川区東尾久２,日暮里・舎人ライナー/赤土小学校前駅 歩4分,築14年,7階建,3階,8.7万円,7500円,-,8.7万円,1K,29.49m2,https://suumo.jp/chintai/jnc_000073036037/?bc=100275885331
日暮里・舎人ライナー 赤土小学校前駅 7階建 築14年,賃貸マンション,東京都荒川区東尾久２,ＪＲ山手線/田端駅 歩17分,築14年,7階建,3階,8.7万円,7500円,-,8.7万円,1K,29.49m2,https://suumo.jp/chintai/jnc_000073036037/?bc=100275885331
日暮里・舎人ライナー 赤土小学校前駅 7階建 築14年,賃貸マンション,東京都荒川区東尾久２,ＪＲ京浜東北線/西日暮里駅 歩18分,築14年,7階建,3階,8.7万円,7500円,-,8.7万円,1K,29.49m2,https://suumo.jp/chintai/jnc_000073036037/?bc=100275885331
ロイヤルハイツフジ,賃貸マンション,東京都荒川区西日暮里６,ＪＲ山手線/西日暮里駅 歩5分,築34年,5階建,1階,7.5万円,3000円,7.5万円,7.5万円,1LDK,34.04m2,https://suumo.jp/chintai/jnc_000072720288/?bc=100276097730
ロイヤルハイツフジ,賃貸マンション,東京都荒川区西日暮里６,ＪＲ山手線/日暮里駅 歩13分,築34年,5階建,1階,7.5万円,3000円,7.5万円,7.5万円,1LDK,34.04m2,https://suumo.jp/chintai/jnc_000072720288/?bc=100276097730
ロイヤルハイツフジ,賃貸マンション,東京都荒川区西日暮里６,ＪＲ山手線/田端駅 歩15分,築34年,5階建,1階,7.5万円,3000円,7.5万円,7.5万円,1LDK,34.04m2,https://suumo.jp/chintai/jnc_000072720288/?bc=100276097730
ユイマール三ノ輪,賃貸マンション,東京都荒川区東日暮里１,東京メトロ日比谷線/三ノ輪駅 歩5分,築3年,5階建,1階,8万円,5500円,-,8万円,1K,24.01m2,https://suumo.jp/chintai/jnc_000072994040/?bc=100275684446
ユイマール三ノ輪,賃貸マンション,東京都荒川区東日暮里１,東京メトロ日比谷線/三ノ輪駅 歩5分,築3年,5階建,5階,8.4万円,5500円,-,8.4万円,1K,24.01m2,https://suumo.jp/chintai/jnc_000072271774/?bc=100272105088
ユイマール三ノ輪,賃貸マンション,東京都荒川区東日暮里１,東京メトロ日比谷線/三ノ輪駅 歩5分,築3年,5階建,5階,8.6万円,5500円,-,8.6万円,1K,25.1m2,https://suumo.jp/chintai/jnc_000073036039/?bc=100275942064
ユイマール三ノ輪,賃貸マンション,東京都荒川区東日暮里１,東京メトロ日比谷線/三ノ輪駅 歩5分,築3年,5階建,4階,8.8万円,5500円,-,8.8万円,1K,27.51m2,https://suumo.jp/chintai/jnc_000072302518/?bc=100272214918
ユイマール三ノ輪,賃貸マンション,東京都荒川区東日暮里１,ＪＲ山手線/日暮里駅 バス17分 (バス停)大関横丁 歩5分,築3年,5階建,1階,8万円,5500円,-,8万円,1K,24.01m2,https://suumo.jp/chintai/jnc_000072994040/?bc=100275684446
ユイマール三ノ輪,賃貸マンション,東京都荒川区東日暮里１,ＪＲ山手線/日暮里駅 バス17分 (バス停)大関横丁 歩5分,築3年,5階建,5階,8.4万円,5500円,-,8.4万円,1K,24.01m2,https://suumo.jp/chintai/jnc_000072271774/?bc=100272105088
ユイマール三ノ輪,賃貸マンション,東京都荒川区東日暮里１,ＪＲ山手線/日暮里駅 バス17分 (バス停)大関横丁 歩5分,築3年,5階建,5階,8.6万円,5500円,-,8.6万円,1K,25.1m2,https://suumo.jp/chintai/jnc_000073036039/?bc=100275942064
ユイマール三ノ輪,賃貸マンション,東京都荒川区東日暮里１,ＪＲ山手線/日暮里駅 バス17分 (バス停)大関横丁 歩5分,築3年,5階建,4階,8.8万円,5500円,-,8.8万円,1K,27.51m2,https://suumo.jp/chintai/jnc_000072302518/?bc=100272214918
ユイマール三ノ輪,賃貸マンション,東京都荒川区東日暮里１,東京メトロ銀座線/浅草駅 バス19分 (バス停)下根岸 歩7分,築3年,5階建,1階,8万円,5500円,-,8万円,1K,24.01m2,https://suumo.jp/chintai/jnc_000072994040/?bc=100275684446
ユイマール三ノ輪,賃貸マンション,東京都荒川区東日暮里１,東京メトロ銀座線/浅草駅 バス19分 (バス停)下根岸 歩7分,築3年,5階建,5階,8.4万円,5500円,-,8.4万円,1K,24.01m2,https://suumo.jp/chintai/jnc_000072271774/?bc=100272105088
ユイマール三ノ輪,賃貸マンション,東京都荒川区東日暮里１,東京メトロ銀座線/浅草駅 バス19分 (バス停)下根岸 歩7分,築3年,5階建,5階,8.6万円,5500円,-,8.6万円,1K,25.1m2,https://suumo.jp/chintai/jnc_000073036039/?bc=100275942064
ユイマール三ノ輪,賃貸マンション,東京都荒川区東日暮里１,東京メトロ銀座線/浅草駅 バス19分 (バス停)下根岸 歩7分,築3年,5階建,4階,8.8万円,5500円,-,8.8万円,1K,27.51m2,https://suumo.jp/chintai/jnc_000072302518/?bc=100272214918
レアライズ日暮里ウエスト,賃貸マンション,東京都荒川区東日暮里４,ＪＲ京浜東北線/日暮里駅 歩9分,築8年,11階建,2階,8.25万円,10000円,-,8.25万円,1K,25.71m2,https://suumo.jp/chintai/jnc_000072886599/?bc=100274856264
レアライズ日暮里ウエスト,賃貸マンション,東京都荒川区東日暮里４,ＪＲ京浜東北線/日暮里駅 歩9分,築8年,11階建,10階,8万円,15000円,-,-,1K,25.5m2,https://suumo.jp/chintai/jnc_000073097514/?bc=100276116150
レアライズ日暮里ウエスト,賃貸マンション,東京都荒川区東日暮里４,ＪＲ山手線/鶯谷駅 歩10分,築8年,11階建,2階,8.25万円,10000円,-,8.25万円,1K,25.71m2,https://suumo.jp/chintai/jnc_000072886599/?bc=100274856264
レアライズ日暮里ウエスト,賃貸マンション,東京都荒川区東日暮里４,ＪＲ山手線/鶯谷駅 歩10分,築8年,11階建,10階,8万円,15000円,-,-,1K,25.5m2,https://suumo.jp/chintai/jnc_000073097514/?bc=100276116150
レアライズ日暮里ウエスト,賃貸マンション,東京都荒川区東日暮里４,ＪＲ常磐線/三河島駅 歩11分,築8年,11階建,2階,8.25万円,10000円,-,8.25万円,1K,25.71m2,https://suumo.jp/chintai/jnc_000072886599/?bc=100274856264
レアライズ日暮里ウエスト,賃貸マンション,東京都荒川区東日暮里４,ＪＲ常磐線/三河島駅 歩11分,築8年,11階建,10階,8万円,15000円,-,-,1K,25.5m2,https://suumo.jp/chintai/jnc_000073097514/?bc=100276116150
ハイム吉川,賃貸マンション,東京都荒川区東日暮里３,ＪＲ山手線/日暮里駅 歩15分,築32年,5階建,4階,13.9万円,5000円,13.9万円,13.9万円,3LDK,59.52m2,https://suumo.jp/chintai/jnc_000073076577/?bc=100276085113
ハイム吉川,賃貸マンション,東京都荒川区東日暮里３,ＪＲ常磐線/三河島駅 歩8分,築32年,5階建,4階,13.9万円,5000円,13.9万円,13.9万円,3LDK,59.52m2,https://suumo.jp/chintai/jnc_000073076577/?bc=100276085113
ハイム吉川,賃貸マンション,東京都荒川区東日暮里３,東京メトロ日比谷線/三ノ輪駅 歩8分,築32年,5階建,4階,13.9万円,5000円,13.9万円,13.9万円,3LDK,59.52m2,https://suumo.jp/chintai/jnc_000073076577/?bc=100276085113
AT　EASE東日暮里,賃貸アパート,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩6分,築6年,3階建,2階,7万円,3000円,7万円,7万円,1K,18.14m2,https://suumo.jp/chintai/jnc_000019786370/?bc=100275677054
AT　EASE東日暮里,賃貸アパート,東京都荒川区東日暮里２,都電荒川線/荒川一中前駅 歩8分,築6年,3階建,2階,7万円,3000円,7万円,7万円,1K,18.14m2,https://suumo.jp/chintai/jnc_000019786370/?bc=100275677054
AT　EASE東日暮里,賃貸アパート,東京都荒川区東日暮里２,都電荒川線/三ノ輪橋駅 歩8分,築6年,3階建,2階,7万円,3000円,7万円,7万円,1K,18.14m2,https://suumo.jp/chintai/jnc_000019786370/?bc=100275677054
ジャルディニエ,賃貸アパート,東京都葛飾区東堀切２,京成本線/堀切菖蒲園駅 歩12分,新築,2階建,1階,10.6万円,2000円,10.6万円,10.6万円,2LDK,57.13m2,https://suumo.jp/chintai/jnc_000071459828/?bc=100276026469
ジャルディニエ,賃貸アパート,東京都葛飾区東堀切２,東京メトロ千代田線/綾瀬駅 歩22分,新築,2階建,1階,10.6万円,2000円,10.6万円,10.6万円,2LDK,57.13m2,https://suumo.jp/chintai/jnc_000071459828/?bc=100276026469
ジャルディニエ,賃貸アパート,東京都葛飾区東堀切２,東武伊勢崎線/堀切駅 歩28分,新築,2階建,1階,10.6万円,2000円,10.6万円,10.6万円,2LDK,57.13m2,https://suumo.jp/chintai/jnc_000071459828/?bc=100276026469
レオパレスアクアグレイス西尾久,賃貸マンション,東京都荒川区西尾久７,ＪＲ宇都宮線/尾久駅 歩6分,築14年,3階建,1階,7.4万円,5000円,-,-,1K,26.08m2,https://suumo.jp/chintai/jnc_000072587560/?bc=100276144942
レオパレスアクアグレイス西尾久,賃貸マンション,東京都荒川区西尾久７,ＪＲ宇都宮線/尾久駅 歩6分,築14年,3階建,2階,7.6万円,5000円,-,7.6万円,1K,26.08m2,https://suumo.jp/chintai/jnc_000072587561/?bc=100156319465
レオパレスアクアグレイス西尾久,賃貸マンション,東京都荒川区西尾久７,都電荒川線/荒川車庫前駅 歩4分,築14年,3階建,1階,7.4万円,5000円,-,-,1K,26.08m2,https://suumo.jp/chintai/jnc_000072587560/?bc=100276144942
レオパレスアクアグレイス西尾久,賃貸マンション,東京都荒川区西尾久７,都電荒川線/荒川車庫前駅 歩4分,築14年,3階建,2階,7.6万円,5000円,-,7.6万円,1K,26.08m2,https://suumo.jp/chintai/jnc_000072587561/?bc=100156319465
レオパレスアクアグレイス西尾久,賃貸マンション,東京都荒川区西尾久７,ＪＲ山手線/田端駅 歩25分,築14年,3階建,1階,7.4万円,5000円,-,-,1K,26.08m2,https://suumo.jp/chintai/jnc_000072587560/?bc=100276144942
レオパレスアクアグレイス西尾久,賃貸マンション,東京都荒川区西尾久７,ＪＲ山手線/田端駅 歩25分,築14年,3階建,2階,7.6万円,5000円,-,7.6万円,1K,26.08m2,https://suumo.jp/chintai/jnc_000072587561/?bc=100156319465
ルピアコート新小岩フレール,賃貸マンション,東京都葛飾区東新小岩２,ＪＲ総武線/新小岩駅 歩14分,築6年,13階建,11階,14.9万円,-,14.9万円,14.9万円,3LDK,71.23m2,https://suumo.jp/chintai/jnc_000073087134/?bc=100276090889
ルピアコート新小岩フレール,賃貸マンション,東京都葛飾区東新小岩２,ＪＲ総武線/小岩駅 歩24分,築6年,13階建,11階,14.9万円,-,14.9万円,14.9万円,3LDK,71.23m2,https://suumo.jp/chintai/jnc_000073087134/?bc=100276090889
ルピアコート新小岩フレール,賃貸マンション,東京都葛飾区東新小岩２,京成押上線/京成立石駅 車10分(3.8km),築6年,13階建,11階,14.9万円,-,14.9万円,14.9万円,3LDK,71.23m2,https://suumo.jp/chintai/jnc_000073087134/?bc=100276090889
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,東京メトロ有楽町線/月島駅 歩6分,築25年,地下2地上50階建,3階,12.5万円,20000円,25万円,12.5万円,2K,42.51m2,https://suumo.jp/chintai/jnc_000048598915/?bc=100275630329
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,東京メトロ有楽町線/月島駅 歩6分,築25年,地下2地上50階建,3階,12.5万円,20000円,25万円,12.5万円,2K,42.51m2,https://suumo.jp/chintai/jnc_000048494434/?bc=100275515500
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,東京メトロ有楽町線/月島駅 歩6分,築25年,地下2地上50階建,49階,21.5万円,15000円,43万円,21.5万円,2LDK,69.86m2,https://suumo.jp/chintai/jnc_000020561178/?bc=100270384930
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,東京メトロ有楽町線/月島駅 歩6分,築25年,地下2地上50階建,41階,23.3万円,15000円,46.6万円,23.3万円,3LDK,94.12m2,https://suumo.jp/chintai/jnc_000072537126/?bc=100273416699
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,東京メトロ有楽町線/月島駅 歩6分,築25年,地下2地上50階建,36階,24.9万円,15000円,24.9万円,24.9万円,3SLDK,69.86m2,https://suumo.jp/chintai/jnc_000073086209/?bc=100276131614
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,都営大江戸線/勝どき駅 歩7分,築25年,地下2地上50階建,3階,12.5万円,20000円,25万円,12.5万円,2K,42.51m2,https://suumo.jp/chintai/jnc_000048598915/?bc=100275630329
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,都営大江戸線/勝どき駅 歩7分,築25年,地下2地上50階建,3階,12.5万円,20000円,25万円,12.5万円,2K,42.51m2,https://suumo.jp/chintai/jnc_000048494434/?bc=100275515500
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,都営大江戸線/勝どき駅 歩7分,築25年,地下2地上50階建,49階,21.5万円,15000円,43万円,21.5万円,2LDK,69.86m2,https://suumo.jp/chintai/jnc_000020561178/?bc=100270384930
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,都営大江戸線/勝どき駅 歩7分,築25年,地下2地上50階建,41階,23.3万円,15000円,46.6万円,23.3万円,3LDK,94.12m2,https://suumo.jp/chintai/jnc_000072537126/?bc=100273416699
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,都営大江戸線/勝どき駅 歩7分,築25年,地下2地上50階建,36階,24.9万円,15000円,24.9万円,24.9万円,3SLDK,69.86m2,https://suumo.jp/chintai/jnc_000073086209/?bc=100276131614
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,新交通ゆりかもめ/豊洲駅 歩15分,築25年,地下2地上50階建,3階,12.5万円,20000円,25万円,12.5万円,2K,42.51m2,https://suumo.jp/chintai/jnc_000048598915/?bc=100275630329
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,新交通ゆりかもめ/豊洲駅 歩15分,築25年,地下2地上50階建,3階,12.5万円,20000円,25万円,12.5万円,2K,42.51m2,https://suumo.jp/chintai/jnc_000048494434/?bc=100275515500
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,新交通ゆりかもめ/豊洲駅 歩15分,築25年,地下2地上50階建,49階,21.5万円,15000円,43万円,21.5万円,2LDK,69.86m2,https://suumo.jp/chintai/jnc_000020561178/?bc=100270384930
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,新交通ゆりかもめ/豊洲駅 歩15分,築25年,地下2地上50階建,41階,23.3万円,15000円,46.6万円,23.3万円,3LDK,94.12m2,https://suumo.jp/chintai/jnc_000072537126/?bc=100273416699
東京メトロ有楽町線 月島駅 地下2地上50階建 築25年,賃貸マンション,東京都中央区晴海１,新交通ゆりかもめ/豊洲駅 歩15分,築25年,地下2地上50階建,36階,24.9万円,15000円,24.9万円,24.9万円,3SLDK,69.86m2,https://suumo.jp/chintai/jnc_000073086209/?bc=100276131614
プレミエールヒルズ青砥橋,賃貸マンション,東京都葛飾区高砂１,京成本線/青砥駅 歩8分,築18年,3階建,3階,8.1万円,3500円,-,8.1万円,1LDK,41.54m2,https://suumo.jp/chintai/jnc_000044024723/?bc=100275977812
プレミエールヒルズ青砥橋,賃貸マンション,東京都葛飾区高砂１,京成本線/京成高砂駅 歩17分,築18年,3階建,3階,8.1万円,3500円,-,8.1万円,1LDK,41.54m2,https://suumo.jp/chintai/jnc_000044024723/?bc=100275977812
プレミエールヒルズ青砥橋,賃貸マンション,東京都葛飾区高砂１,京成押上線/京成立石駅 歩21分,築18年,3階建,3階,8.1万円,3500円,-,8.1万円,1LDK,41.54m2,https://suumo.jp/chintai/jnc_000044024723/?bc=100275977812
